context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,192,4096,avg_decrypt_time_s,3,0.0008552903356030583,0.0008552903356030583,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,4096,avg_encrypt_time_s,3,0.015154788333456964,0.015154788333456964,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,4096,key_avalanche_score,2,0.42660156250000003,0.42660156250000003,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,4096,throughput_dec_mbps,3,4.596633884270258,4.596633884270258,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,4096,throughput_enc_mbps,3,0.6758323293685575,0.6758323293685575,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,16384,avalanche_score,3,0.49830729166666665,0.49830729166666665,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,16384,avg_decrypt_time_s,3,0.003937052000934879,0.003937052000934879,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,16384,avg_encrypt_time_s,3,0.06242613332501302,0.06242613332501302,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,16384,key_avalanche_score,2,0.4320703125,0.4320703125,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,16384,throughput_dec_mbps,3,4.322023580099254,4.322023580099254,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
