platform,algorithm,mode,key_size_bits,message_size_bytes,samples,source_files_count,source_files,repetitions_min,repetitions_max,throughput_encrypt_mbps_mean,ci95_encrypt_mbps_mean,ic95_relative_pct_mean,threshold_rel_ic95_pct,confidence_95_condition,threshold_condition,overall_status
arm,AES,ECB,256,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,17.769883686128498,0.5247421684735842,3.0317739209240013,10.0,PASS,PASS,PASS
arm,AES,ECB,256,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,36.658922362318144,1.4356756305400404,3.9334176844858733,10.0,PASS,PASS,PASS
arm,AES,ECB,256,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,47.03346965408023,2.2224046357629716,4.8417234705426715,10.0,PASS,PASS,PASS
arm,AES,GCM,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.17940572827657822,0.09518414262813202,53.18633840068778,10.0,PASS,FAIL,FAIL
arm,AES,GCM,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.0760135241590416,0.048521184572973795,4.552787546499531,10.0,PASS,PASS,PASS
arm,AES,GCM,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.9604484197554526,0.17434344734597348,4.414085702239132,10.0,PASS,PASS,PASS
arm,AES,GCM,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,10.527598954449052,0.4529622707334453,4.502355150452479,10.0,PASS,PASS,PASS
arm,AES,GCM,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,20.252176261952854,0.6480064675961393,3.22460382200998,10.0,PASS,PASS,PASS
arm,AES,GCM,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.2649314535729369,0.012669420967768083,5.0196527007009335,10.0,PASS,PASS,PASS
arm,AES,GCM,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.1099761417236556,0.047907017804676565,4.323338668521795,10.0,PASS,PASS,PASS
arm,AES,GCM,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.8929120915770614,0.17223342717222132,4.440038027996697,10.0,PASS,PASS,PASS
arm,AES,GCM,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,10.555174641488078,0.5289096716660829,5.097234913955044,10.0,PASS,PASS,PASS
arm,AES,GCM,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,20.13550787208803,0.4934659106423414,2.454614841275337,10.0,PASS,PASS,PASS
arm,AES,GCM,256,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.28345063518702723,0.012451561819365707,4.4015749664887736,10.0,PASS,PASS,PASS
arm,AES,GCM,256,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.1030786987278682,0.058063277104023286,5.293003705994991,10.0,PASS,PASS,PASS
arm,AES,GCM,256,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.641839461588623,0.2048446012089927,5.661239839031229,10.0,PASS,PASS,PASS
arm,AES,GCM,256,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,10.156179038956003,0.507290875290623,5.093336752303563,10.0,PASS,PASS,PASS
arm,AES,GCM,256,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,18.09292949444382,0.5107817432340866,2.8637400248644713,10.0,PASS,PASS,PASS
arm,ChaCha20,Stream,256,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.20020921721834,0.2311297813782827,10.510637711773853,10.0,PASS,FAIL,FAIL
arm,ChaCha20,Stream,256,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,8.701193604577412,0.22168417049184064,2.5535509180285767,10.0,PASS,PASS,PASS
arm,ChaCha20,Stream,256,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,27.531694520066804,0.7880422966848141,2.8663376955166906,10.0,PASS,PASS,PASS
arm,ChaCha20,Stream,256,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,63.46365755135515,1.9857865099176406,3.130435816666518,10.0,PASS,PASS,PASS
arm,ChaCha20,Stream,256,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,87.01798700468288,3.3080148995673486,3.80295771440584,10.0,PASS,PASS,PASS
arm,DES,CBC,64,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.12125368125065361,0.003072176158324349,2.6130389874221107,10.0,PASS,PASS,PASS
arm,DES,CBC,64,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.14770035004500692,0.0017703345010722923,1.224529388933709,10.0,PASS,PASS,PASS
arm,DES,CBC,64,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.1552643405881918,0.0007573681413573155,0.48923816034928863,10.0,PASS,PASS,PASS
arm,DES,CBC,64,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.15560210982440154,0.0006496743527604662,0.424644847609349,10.0,PASS,PASS,PASS
arm,DES,CBC,64,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.15866758956247828,0.0005273428457874205,0.33744255621234603,10.0,PASS,PASS,PASS
arm,DES,CTR,64,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.8037661362220718,0.022950425471693226,2.856180705206897,10.0,PASS,PASS,PASS
arm,DES,CTR,64,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.8767959144080217,0.05315842920706429,2.8299810471355884,10.0,PASS,PASS,PASS
arm,DES,CTR,64,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.9852813497187785,0.10538689773102601,3.5293898322070505,10.0,PASS,PASS,PASS
arm,DES,CTR,64,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.571473880177365,0.06189010121789301,1.7350174672113108,10.0,PASS,PASS,PASS
arm,DES,CTR,64,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.6192715693790745,0.03375854713204633,0.9446113335185434,10.0,PASS,PASS,PASS
arm,DES,ECB,64,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.0401162344390718,0.10725485443230696,10.395683772770722,10.0,PASS,FAIL,FAIL
arm,DES,ECB,64,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.008308081265416,0.2746517221570377,6.876967331739105,10.0,PASS,PASS,PASS
arm,DES,ECB,64,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,11.940654521804012,0.5928251003043506,4.964450599897348,10.0,PASS,PASS,PASS
arm,DES,ECB,64,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,23.402393472771536,0.7563894343490319,3.2368968668176805,10.0,PASS,PASS,PASS
