context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,192,256,avg_decrypt_time_s,4,0.00017131250065403945,0.00017131250065403945,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,256,avg_encrypt_time_s,4,0.0003403997465261455,0.0003403997465261455,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,256,key_avalanche_score,4,0.42660156250000003,0.42660156250000003,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,256,throughput_dec_mbps,4,1.501809997165673,1.501809997165673,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,256,throughput_enc_mbps,4,0.7390459541197125,0.7390459541197125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,avalanche_score,4,0.5021484375,0.5021484375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,avg_decrypt_time_s,4,0.0003177125043566775,0.0003177125043566775,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,avg_encrypt_time_s,4,0.0011561582494414326,0.0011561582494414326,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,key_avalanche_score,4,0.43490234375000003,0.43490234375000003,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,throughput_dec_mbps,4,3.134537858324188,3.134537858324188,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,throughput_enc_mbps,4,0.862847574987581,0.862847574987581,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,avalanche_score,4,0.5008203125,0.5008203125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,avg_decrypt_time_s,4,0.0009809067495098133,0.0009809067495098133,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,avg_encrypt_time_s,4,0.004538568495850086,0.004538568495850086,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,key_avalanche_score,4,0.43849609375,0.43849609375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,throughput_dec_mbps,4,4.099417170344043,4.099417170344043,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,throughput_enc_mbps,4,0.876016474162113,0.876016474162113,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,avalanche_score,4,0.49947265625,0.49947265625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,avg_decrypt_time_s,4,0.003407096999899295,0.003407096999899295,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,avg_encrypt_time_s,4,0.019134247497242997,0.019134247497242997,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,key_avalanche_score,4,0.444140625,0.444140625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,throughput_dec_mbps,4,4.661489312679368,4.661489312679368,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,throughput_enc_mbps,4,0.8518220481177258,0.8518220481177258,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,avalanche_score,4,0.49947265625000004,0.49947265625000004,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,avg_decrypt_time_s,4,9.108074833420686e-05,9.108074833420686e-05,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,avg_encrypt_time_s,4,9.386524943693076e-05,9.386524943693076e-05,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,key_avalanche_score,4,0.43878906249999994,0.43878906249999994,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,throughput_dec_mbps,4,0.7129023034149262,0.7129023034149262,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,throughput_enc_mbps,4,0.6751999880168262,0.6751999880168262,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,avalanche_score,4,0.49953125,0.49953125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,avg_decrypt_time_s,4,0.00015291550080519302,0.00015291550080519302,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,avg_encrypt_time_s,4,0.00014896599786879962,0.00014896599786879962,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,key_avalanche_score,4,0.43978515625000003,0.43978515625000003,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,throughput_dec_mbps,4,1.6092565704563302,1.6092565704563302,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,throughput_enc_mbps,4,1.6739515253571795,1.6739515253571795,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,avalanche_score,4,0.50232421875,0.50232421875,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,avg_decrypt_time_s,4,0.0003534975007164576,0.0003534975007164576,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,avg_encrypt_time_s,4,0.00037466500075424843,0.00037466500075424843,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,key_avalanche_score,4,0.434765625,0.434765625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,throughput_dec_mbps,4,2.798887955511998,2.798887955511998,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,throughput_enc_mbps,4,2.6250234596303583,2.6250234596303583,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,avalanche_score,4,0.50216796875,0.50216796875,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,avg_decrypt_time_s,4,0.0012002955028447104,0.0012002955028447104,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,avg_encrypt_time_s,4,0.0012367405033887734,0.0012367405033887734,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,key_avalanche_score,4,0.43384765625,0.43384765625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,throughput_dec_mbps,4,3.3593600832993054,3.3593600832993054,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,throughput_enc_mbps,4,3.226052671656765,3.226052671656765,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,avalanche_score,4,0.4990234375,0.4990234375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,avg_decrypt_time_s,4,0.004404397251148566,0.004404397251148566,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,avg_encrypt_time_s,4,0.004362526497354793,0.004362526497354793,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,key_avalanche_score,4,0.43621093750000006,0.43621093750000006,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,throughput_dec_mbps,4,3.5871732122966353,3.5871732122966353,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,throughput_enc_mbps,4,3.6381115151457966,3.6381115151457966,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,avalanche_score,4,0.50208984375,0.50208984375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,avg_decrypt_time_s,4,0.0001048592504980661,0.0001048592504980661,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,avg_encrypt_time_s,4,0.00011366300421286724,0.00011366300421286724,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,key_avalanche_score,4,0.43855468750000004,0.43855468750000004,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,throughput_dec_mbps,4,0.5980240990940999,0.5980240990940999,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,throughput_enc_mbps,4,0.5532758922621239,0.5532758922621239,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,avalanche_score,4,0.4946484375,0.4946484375,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,avg_decrypt_time_s,4,0.00017079350449421325,0.00017079350449421325,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,avg_encrypt_time_s,4,0.00016719099907504644,0.00016719099907504644,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,key_avalanche_score,4,0.4387890625,0.4387890625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,throughput_dec_mbps,4,1.4716564686426419,1.4716564686426419,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,throughput_enc_mbps,4,1.5026795261519859,1.5026795261519859,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,1024,avalanche_score,4,0.5004296875,0.5004296875,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,1024,avg_decrypt_time_s,4,0.000376112998926601,0.000376112998926601,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
