context,platform,algorithm,mode,key_size_bits,message_size_bytes,throughput_enc_mbps,throughput_dec_mbps,avalanche_score,key_avalanche_score,ci95_enc_mbps,source_csvs
performance,x86,AES,CBC,192,4096,0.6251418085011973,6.8762074065916945,0.50107421875,0.5017968749999999,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,192,16384,0.5553960209685573,6.417813295280901,0.5014453125,0.501552734375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,256,64,0.4052108513290581,1.5618038540920842,0.49849609375000004,0.50021484375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,256,256,0.46869861881279656,3.637648727175935,0.5008984375,0.49845703124999996,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,256,1024,0.543734335819484,5.07428511232341,0.49947265625000004,0.5002050781249999,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,256,4096,0.5703254622850169,6.430034746940337,0.5010449218749999,0.501484375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CBC,256,16384,0.5694404099085351,6.176217168143701,0.50029296875,0.5005761718749999,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,128,64,1.556124179069966,1.4013827615977235,0.497724609375,0.501279296875,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,128,256,3.1610555530068627,3.1538096803086946,0.500517578125,0.49880859375000003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,128,1024,4.400288901584401,4.536795803995304,0.497568359375,0.5003515625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,128,4096,4.722181899106969,5.210649152440804,0.498720703125,0.499765625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,128,16384,5.321871277710795,5.683488583276023,0.499052734375,0.4985546875,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,192,64,1.7224054608159518,1.523670879265011,0.49908203125,0.499052734375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,192,256,3.2553115309888785,3.290995932766111,0.501396484375,0.5012890624999999,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,192,1024,4.890330574157353,4.875786056361633,0.500595703125,0.49905273437500003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,192,4096,5.387079002310913,5.724129808592577,0.498994140625,0.49814453125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,192,16384,5.9325526557207064,5.468465273433795,0.4989453125,0.49877929687500006,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,256,64,1.5030871293473307,1.6971488325953774,0.50060546875,0.500595703125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,256,256,3.2664088024128084,3.1411526181029954,0.49970703125,0.5026953125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,256,1024,4.355174896557305,4.7757005814014315,0.5012109375,0.502978515625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,256,4096,4.7833548959592935,4.894571670182179,0.5005859374999999,0.50244140625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,CTR,256,16384,5.725649372834582,5.744048641779265,0.4982519531249999,0.50095703125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,ECB,128,64,1.2014392180660993,2.798720010868858,0.501572265625,0.501005859375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,ECB,128,256,8.900750964557576,11.407870522344115,0.498427734375,0.497080078125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,AES,ECB,128,1024,31.45012200904239,38.088033403713816,0.50142578125,0.49971679687500004,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
